STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
HIMACHAL PRADESH,2013,Other Railway Accidents,20,3,2,1,3,1,2,2,2,1,2,0,1
HIMACHAL PRADESH,2013,Total,3001,212,204,217,257,267,236,265,237,277,275,276,278
JAMMU & KASHMIR,2013,Road Accidents,6455,418,355,464,530,646,617,596,574,542,652,582,479
JAMMU & KASHMIR,2013,Rail-Road Accidents,51,6,5,2,5,5,5,4,4,1,4,4,6
JAMMU & KASHMIR,2013,Other Railway Accidents,7,0,0,0,1,3,0,1,0,0,0,1,1
JAMMU & KASHMIR,2013,Total,6513,424,360,466,536,654,622,601,578,543,656,587,486
JHARKHAND,2013,Road Accidents,5161,449,423,440,427,550,429,440,391,352,406,428,426
JHARKHAND,2013,Rail-Road Accidents,7,0,2,1,0,0,1,0,1,0,1,0,1
JHARKHAND,2013,Other Railway Accidents,493,41,40,43,42,44,39,40,38,42,43,39,42
JHARKHAND,2013,Total,5661,490,465,484,469,594,469,480,430,394,450,467,469
KARNATAKA,2013,Road Accidents,39591,3507,3322,3437,3403,3732,3247,2964,2981,3013,3185,3267,3533
KARNATAKA,2013,Rail-Road Accidents,23,3,1,1,3,2,3,0,1,0,0,3,6
KARNATAKA,2013,Other Railway Accidents,1261,111,102,122,102,90,120,100,106,98,108,99,103
KARNATAKA,2013,Total,40875,3621,3425,3560,3508,3824,3370,3064,3088,3111,3293,3369,3642
KERALA,2013,Road Accidents,35215,3251,3023,3090,3113,3231,2712,2595,2772,2788,2728,2789,3123
KERALA,2013,Rail-Road Accidents,47,4,5,4,4,6,2,2,6,4,3,3,4
KERALA,2013,Other Railway Accidents,427,39,32,43,37,47,32,34,42,24,33,38,26
KERALA,2013,Total,35689,3294,3060,3137,3154,3284,2746,2631,2820,2816,2764,2830,3153
MADHYA PRADESH,2013,Road Accidents,34034,2959,2801,2953,2952,3778,3026,2535,2448,2587,2741,2621,2633
MADHYA PRADESH,2013,Rail-Road Accidents,123,7,13,9,5,17,14,14,5,7,15,7,10
MADHYA PRADESH,2013,Other Railway Accidents,1721,128,120,144,149,152,163,139,144,154,160,137,131
MADHYA PRADESH,2013,Total,35878,3094,2934,3106,3106,3947,3203,2688,2597,2748,2916,2765,2774
MAHARASHTRA,2013,Road Accidents,43863,4013,3689,3978,3798,4460,3653,3215,3081,3206,3304,3434,4032
MAHARASHTRA,2013,Rail-Road Accidents,39,3,2,3,3,2,2,5,5,2,4,3,5
MAHARASHTRA,2013,Other Railway Accidents,8165,657,580,702,699,738,592,664,690,684,744,733,682
MAHARASHTRA,2013,Total,52067,4673,4271,4683,4500,5200,4247,3884,3776,3892,4052,4170,4719
MANIPUR,2013,Road Accidents,671,59,46,57,58,45,46,39,40,63,67,67,84
MANIPUR,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,Total,671,59,46,57,58,45,46,39,40,63,67,67,84
MEGHALAYA,2013,Road Accidents,194,20,24,20,14,20,21,16,9,11,14,13,12
MEGHALAYA,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,Total,194,20,24,20,14,20,21,16,9,11,14,13,12
MIZORAM,2013,Road Accidents,114,11,7,18,14,9,8,10,8,6,8,7,8
MIZORAM,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,Total,114,11,7,18,14,9,8,10,8,6,8,7,8
NAGALAND,2013,Road Accidents,39,4,6,2,3,2,4,3,6,4,3,2,0
NAGALAND,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,Other Railway Accidents,5,1,0,0,0,1,0,0,2,0,1,0,0
NAGALAND,2013,Total,44,5,6,2,3,3,4,3,8,4,4,2,0
ODISHA,2013,Road Accidents,9680,911,806,912,765,999,809,757,677,707,619,799,919
ODISHA,2013,Rail-Road Accidents,187,9,11,12,14,18,15,22,19,20,17,13,17
ODISHA,2013,Other Railway Accidents,245,25,21,18,24,23,24,17,21,17,14,17,24
ODISHA,2013,Total,10112,945,838,942,803,1040,848,796,717,744,650,829,960
PUNJAB,2013,Road Accidents,6323,503,464,555,552,533,487,467,458,482,573,665,584
PUNJAB,2013,Rail-Road Accidents,6,0,0,0,1,1,0,0,1,1,1,1,0
PUNJAB,2013,Other Railway Accidents,967,60,57,74,85,101,82,97,72,90,84,98,67
PUNJAB,2013,Total,7296,563,521,629,638,635,569,564,531,573,658,764,651
RAJASTHAN,2013,Road Accidents,23586,2034,1821,1963,2046,2305,2109,1822,1679,1944,2013,2095,1755
RAJASTHAN,2013,Rail-Road Accidents,41,5,3,5,3,6,6,3,2,0,1,3,4
RAJASTHAN,2013,Other Railway Accidents,300,20,24,24,22,28,32,32,28,30,25,16,19
RAJASTHAN,2013,Total,23927,2059,1848,1992,2071,2339,2147,1857,1709,1974,2039,2114,1778
SIKKIM,2013,Road Accidents,244,16,17,33,24,24,17,18,21,17,20,16,21
SIKKIM,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,Total,244,16,17,33,24,24,17,18,21,17,20,16,21
TAMIL NADU,2013,Road Accidents,66238,5881,5337,5741,5599,5914,5593,5311,5470,5597,5313,5268,5214
TAMIL NADU,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Other Railway Accidents,1978,156,150,159,167,177,176,170,163,165,168,159,168
TAMIL NADU,2013,Total,68216,6037,5487,5900,5766,6091,5769,5481,5633,5762,5481,5427,5382
TRIPURA,2013,Road Accidents,818,66,50,63,72,64,70,69,61,68,76,81,78
TRIPURA,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Total,818,66,50,63,72,64,70,69,61,68,76,81,78
UTTAR PRADESH,2013,Road Accidents,25975,2290,2150,2235,2225,2554,2227,2035,1951,1871,1922,2149,2366
UTTAR PRADESH,2013,Rail-Road Accidents,701,75,68,60,51,70,55,59,53,51,44,61,54
UTTAR PRADESH,2013,Other Railway Accidents,3341,272,245,273,267,329,329,285,298,293,246,259,245
UTTAR PRADESH,2013,Total,30017,2637,2463,2568,2543,2953,2611,2379,2302,2215,2212,2469,2665
UTTARAKHAND,2013,Road Accidents,1297,84,91,118,102,167,120,94,81,104,112,97,127
UTTARAKHAND,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,Other Railway Accidents,67,2,2,3,10,11,20,5,4,3,2,3,2
UTTARAKHAND,2013,Total,1364,86,93,121,112,178,140,99,85,107,114,100,129
WEST BENGAL,2013,Road Accidents,16549,1564,1382,1474,1392,1629,1391,1315,1208,1228,1299,1335,1332
WEST BENGAL,2013,Rail-Road Accidents,21,6,0,0,2,3,1,2,5,1,1,0,0
WEST BENGAL,2013,Other Railway Accidents,2784,212,225,197,246,244,214,228,243,249,273,231,222
WEST BENGAL,2013,Total,19354,1782,1607,1671,1640,1876,1606,1545,1456,1478,1573,1566,1554
A & N ISLANDS,2013,Road Accidents,200,24,23,16,15,13,16,14,25,14,15,14,11
